TCGA-IA-A83V	MYH7,PRKDC,VCAN,CENPF,OBSCN,NIPBL
TCGA-IA-A40X	TTN,TNRC18,ZNF536
TCGA-BQ-7044	NFE2L2,PARD6B,MGAM,TTN,ASAP2,MUC5B,CSMD2,MON2,PKHD1,RNF213
TCGA-UZ-A9Q0	ACACA,ARID1A,SMARCA4,F12,SYNE1,SYNE2,OBSCN
TCGA-5P-A9KE	CLTC,MYH7,TTN,DCC,KDM6A,RYR3,LRP2,FAT4,USH2A,PHLDB1,MON2
TCGA-Y8-A894	ANK3,MUC5B,GBF1,CLUH,SCAF11,USF3,GREB1,TENM3
TCGA-B1-7332	MET,ATP1B1,PLXNB2,LRP2,SMCHD1,USH2A
TCGA-A4-A5Y1	MYH7,TTN,KMT2D,SETD2,CUBN,KNL1,VPS13C,BOD1L1,KIAA1109,ITPRID2,SMC6,MYT1,TENM3
TCGA-2Z-A9J6	CREBBP,LAMA3,CUBN,MYO18B,MYH4
TCGA-A4-7828	MTOR,APOB,DOCK2,CMYA5
TCGA-5P-A9JY	ATXN2,TTN,COL18A1,ARHGEF28,WDR20,USP34,RNF213,NAV3,PKHD1
TCGA-BQ-7060	ITGAX,NSD1,KDM6A,EPHA8,TEP1,SVEP1,LRBA
TCGA-UZ-A9PS	PRKDC,ANK2,DOT1L,KMT2C,TP53BP1,ERCC6,ARHGEF28,MAST4,TET1,SMCHD1,SHROOM3,KIAA1109,OBSCN,MUC16,STAB1,USH2A,SZT2,MYO18A,CUX1
