TCGA-DJ-A13P	BRAF,KMT2A,CPLANE1,OFD1,PHEX
TCGA-EM-A22O	BRAF,FZD8,ATM,CARS1,CACNA2D4,ATXN2,DNAH3,ZNRF3,ATXN7L2,CCDC39,CDH19,CDH23,CNKSR1,DDX60L,EPG5,MAP1A,MIS18BP1,NAP1L1,PKP4,SDAD1,TTC27
TCGA-EL-A3N3	BRAF,TCF7L1,MYLK,DTX1,RASAL1,MDN1,CENPW,CHD5,SYNE1,TENM2
TCGA-DJ-A3UU	BRAF,ALG13,UTP14C,RNF170
TCGA-EL-A3GS	BRAF,PIK3CG,SDC4,CHST5
TCGA-DJ-A3VG	NRAS,GSTO2,LAMA4,GTF2H1,CSNK2A1,TARS1,ATXN7L1,CASP14,PCDH19,SLC41A1,TONSL,ZC3H12A
TCGA-EM-A2OZ	BRAF,UQCRC2,BRCA1,STX1B,FNIP2,ARAP3,COL15A1,GPC1,DLG5,PRDM16,ABHD6,AHNAK2,NPC1L1,ABCA12,CPLANE1,FTO,IL12A,MGMT,MPV17
TCGA-EM-A3AR	BRAF,ABCG8,COL27A1,KCNIP3,ZMIZ2
TCGA-FE-A237	BRAF,PSG8
TCGA-EL-A3H1	ABCG5,TG,CETP,CHD4,PLXNB3,DKC1,FBN1,GBP5,SEPTIN6,SCN3A,ACSM5,BRF2,CHD3,MPPED1,PSMC3IP,SH2D3C,SPRR2E,STRA6
TCGA-EM-A2P0	BRAF,ABCC4,MUC17,ZFHX3
TCGA-DJ-A3VK	MRPS18C,TAF1L,ARCN1,KCND3,UNC79,XYLT2,ZCCHC10
TCGA-ET-A39T	BRAF,ALK,THOC2,CAND1
TCGA-EM-A3ST	NRAS,HSPA5,TTN,APOBEC3C,CC2D1A,EIF1AX,GSDMA,LINGO1,MACF1,RAB6B,SHCBP1,TGM4,WNK2
TCGA-EL-A3CP	BRAF,HK3,CES1,KIAA1109,TDRD6,WHRN,ZNF407
TCGA-BJ-A0ZA	PC,DHX8,AMOTL1,DNAH10,FBN2,LPP,SRPK2,TBX5,ZRANB3
TCGA-ET-A3DU	BRAF,KMT2C,CACHD1,FCGBP,PLP1,TIPIN,TRPM3,ZGPAT
TCGA-L6-A4EU	BRAF,DDX58,COL4A5,AP2A2,CACNA1E,HMOX2,UBE2A,THOC5,CARD6,CPA1,PELO,COX20,DPYSL5,ADAMTS9,CBX5,DST,EPSTI1,FRMD4A,KEL,LOX,LRPPRC,MACF1,MTERF2,NUDT10,OPN4,RALGAPB,SERTAD3,SLC10A5,UBP1,VPS35L,ZFC3H1,ZFHX3
TCGA-FY-A3W9	NRAS,COL6A3,SPHK1,PHGDH,CALCB,CHRM3,HBS1L,CA13,CNGA3,ADAMTS2,CRISP2,CYB5R4,DDX4,ESCO2,FBXO44,ICE1,KDM2A,KIF4B,SACS
TCGA-EM-A2CK	HRAS,CHST8,FHL3,LRRC8A,MOG,PCM1
TCGA-ET-A40Q	BRAF,PSMC4,RASA1,KYAT3,TM7SF2,TCN2,CHP1,HBM,KIF19
TCGA-EL-A3GY	BRAF,ITGB1,TG,CYP11A1,AGO2,BTN2A1,NRXN3,PCDHGA5
TCGA-EM-A4FR	CACNA1B,CLSTN2,KIF25,SNRNP48
TCGA-DO-A1K0	BRAF,GRIA3,GBF1,ZFHX3
TCGA-EM-A22N	CACNA1A,KIF2A,SINHCAF,TRIM46
TCGA-DJ-A3VJ	AKT1,BRAF,ANGPTL4,BIRC6,OR4A5,APBA1,BPTF,CATSPER4
TCGA-E8-A418	AKT1,BRAF,SPHK2,ADH1B,RYR1,CPT1A,DNMT1,PTPRR,KMT2A,PDHX,IARS1,PPM1D,DNAJA2,EVC,MCHR1,HCN1,BICRAL,CCN4,CHD2,DLEC1,INTS10,MUC6,NUTM1,PCSK1,POGLUT1,PPP6R3,RTTN,SLC13A1
TCGA-ET-A25G	BRAF,COL6A2,MPDZ,PABPC3,CLCA1,HIGD1A,ZMIZ2,ZSCAN20
TCGA-FE-A3PB	BRAF,PCDHGB3
TCGA-DJ-A3V3	LEPR,AQP9
TCGA-FY-A4B4	AKT1,BRAF,PIK3R6,HEXB,DRD4,C2CD3,EGFL8,KDM2A,LINGO1,MAP1A
TCGA-FY-A40K	BRAF,CD38,PRRC2A,RTTN
TCGA-EL-A3ZH	NRAS,KMT2A,ATXN2L,BRCC3,MED15
TCGA-FE-A3PA	CUL2,MEN1
TCGA-FY-A40L	BRAF,TLR2,CASP7,THBS2,CAD,TNFSF15,ACAD9,CEP164,DDX28,PDZD2,PLK2,RCOR2,USP24
TCGA-EM-A3OA	NRAS,HSPA5,ANK2,JMJD1C,OR4X1,ASPSCR1,DPPA4,EPG5,KANSL2,SNTA1
TCGA-EL-A4K9	BRAF,ITPR2,AMPD2,GOT1,EPHB6,HSPG2,DDX23,CENPF,SCN8A,SECISBP2,TMPRSS15
TCGA-EL-A3D0	BRAF,CAMKK2,CASP4,EHD2,C1GALT1C1L,ENPP2,OR2T34,MYO10,ABCA5,BCOR,BEND6,CACTIN,FBN3,GCN1,UBXN2B
TCGA-ET-A25J	BRAF,SLC6A3,BICRAL,CEP350,SHQ1
TCGA-EL-A4JW	BRAF,UQCRC1,GOT2,RPL18A,CELF5,SLC6A8
TCGA-ET-A40S	HSPA4,LILRB1,SMARCD3,DDIT4,ARHGAP29,MIER2,MYH13,PPL,SNX9
TCGA-L6-A4EQ	BRAF,PLCD1,ATP2B4,MEFV,PLA2G15,ADAMTSL1,C11orf58,FBN3,KCNH1,MSH5,RBP1,TRIM26,USP9X
TCGA-DJ-A4V4	BRAF,RAPGEF1,CYP17A1,ABAT,CUL3,ASPDH,AFTPH,KAT6B,PPP1R7,SPINK5,TP53BP1
TCGA-DE-A4M8	KDR,POFUT2,CDH8,FBXO3,SYN2
TCGA-E3-A3DZ	HRAS,CDKN1B,ATP1B4,GCC2,COBL,DCAF13,HERC1,MARCHF1,MID2,OTUD6A,SPAG17
TCGA-ET-A3DS	TSHR,HNRNPC,SH3KBP1,ADGRG4,BTAF1,CCDC62,GOLGB1,KCNAB3,LRSAM1
TCGA-DE-A7U5	BRAF,SMARCC2,THOC5,CELSR1
TCGA-DJ-A2PS	BRAF,HSD3B2,NUDT5
TCGA-BJ-A0Z0	PTEN,TG,SEC24B,PRKDC,HEYL,ENPP2,MUC7,RAP1GAP,ADAM15,ANKS1A,BDP1,ELOA2,FCGBP,GEMIN5,MALSU1,NCAPH2,RO60,SHROOM3,SNTB2,TRIM6-TRIM34
TCGA-EM-A3SZ	BRAF,TLN2,TLE4,VANGL1,ZNF234,ABCA4,MAGEC1,MORN5,NAA30,TRIM33,ZNF37A
TCGA-EM-A2CR	NRAS,AK9,CXCL13,SIRPB1,PRB2,DGCR8,NEK8,RRN3
TCGA-EM-A2P3	BRAF,GRM6,PAK5,FLG,PYGO1,SORBS2,WNK2
TCGA-BJ-A3PU	BRAF,RXRA,CNOT1,LIN54,HLCS,CHST8,BGN,KAT8,SPTAN1,TNIK,TSPAN8
TCGA-FY-A3NP	NRAS,OAS3,ENPEP,PLXNC1,ADGRL1,LETM1,RANBP10
TCGA-DJ-A13S	NRAS,TG,MATR3,CDKL5,EPB41L1,NAV3,RAB3C,XIRP2
TCGA-DJ-A2PW	BRAF,KMT2C,PPM1D,PEX7,CSMD3,FHL3,HOOK3,PPAT,TNRC6B,TRPM4
TCGA-BJ-A28S	LAMA4,ATR,ESPL1,KSR2,AGO1,BRWD1,EXOC3L2,MEGF6,MYOF,NDFIP2,SP4,SVIL
TCGA-E8-A432	PIK3R5,KMT2D,TTN,KAT5,PLCH1,LNPEP,ADGRB3,ARSK,BTN3A3,DOCK7,MTERF1,NPAP1,PCDHA8,PDZD2,POU2AF1,SLC22A6,SLC35D3,TTLL5,ZC3H13
TCGA-DJ-A3V5	BRAF,CYP27B1,CAMK4,FANCI,FRAS1,KERA,LRRC4C,MEAK7,RPGR,RSU1,TIMELESS
TCGA-DJ-A2QC	BRAF,CDCA2,KCNK18,NANOS3,NSL1,SLC6A19
TCGA-DJ-A3UM	BRAF
TCGA-FY-A3WA	BCL2L12,CLIC6,TBC1D14
TCGA-FK-A3SB	BRAF,EIF3L,ESPN,GMIP,VGLL3,ZFHX3
TCGA-DJ-A1QI	BRAF,IGF1R,PCCA,GLG1,ANKAR,SP4,STXBP5L
TCGA-DJ-A1QN	BRAF,NDST2,PREB,AUP1,EVPL,SLC5A2
TCGA-E8-A417	BRAF,RB1CC1,TTN,FUT1,ATP4A,CR1,ASAP1,ABCB11,ANO5,DHX29,EEA1,ING1,MKI67,PDZD2,WDR72,ZFHX3
TCGA-BJ-A4O9	AKT1,BRAF,ERBB4,PLA2G2A,UGT2B15,MPI,RAD23B,MLYCD,DPF3,APPL1,ZFYVE1,C2CD3,HSH2D,RAB27A,ZFX
TCGA-FY-A3R6	SIRT4,GLYCTK,CARD10,EPB41L3,LETM1
TCGA-EM-A2CS	BRAF,NOTCH4,ACTL6B,ADPGK,SENP2,TEAD1,BFAR,KIF19,PURA
TCGA-BJ-A45H	BRAF,AK9,NPAS2,CDH23,CHD7,SIPA1L1,TCF7L2
TCGA-ET-A3BO	BRAF,H2AX,TG,LTBP1
TCGA-BJ-A28V	JAK1,TKTL2,GUCY2C,FUT3,MRC1,CD46,DCLRE1C,NSD1,NUP210L,OR4M1,PXMP2,SULT2A1,KIF4B,MYH3,TBX18
TCGA-FY-A40N	CUL1
TCGA-CE-A483	BRAF,GLI3,CELSR2
TCGA-DE-A3KN	DYNC1H1,PLXNB1,HMOX2,VCAN,DOCK7
TCGA-ET-A39L	TNC,NPAT,ZC3H11A
TCGA-EL-A3H3	PLPP6
TCGA-DJ-A2QB	HRAS,CDKN2C,LARS1,PLXNB2,TRPV5,PHKA2,FAF2
TCGA-ET-A3DR	PRKG1,MED12L,KMT2E,XPO4,NUP210L,JAKMIP1
TCGA-EL-A3H7	BRAF,GPT,INPP5F,IFNAR2,TAS1R2,PEX10,MUC5B,ABHD4,BRD3,FAM120C,INTS2,PCDHA8,SETBP1,TM9SF4,TTLL5
TCGA-EM-A1CV	BRAF,SUFU,EXOC2,CHRND,NCR1,ADGRG4,CTNNAL1,USP9X
TCGA-H2-A3RI	BRAF
TCGA-BJ-A0Z2	HRAS,CACNA2D1,NLRP3,PDE3A,PIK3C2A,PTK2B,SNRNP27,WEE2,PRKD1,SUOX,NANS,MUC5B,SLC5A1,IRF5,UBR4,MUC16,NEXMIF,SRRT,ZNF652
TCGA-FK-A3SG	BDP1,CD6,MARCHF8,RNF128,WDR11
TCGA-DJ-A1QH	BRAF,MTHFD1,FLNC,S1PR1,TYR,GBF1,TRIM32,ATN1,CCDC180,LY75-CD302,NEMF,PPEF1,SIM1,STXBP4
TCGA-EL-A3CZ	HRAS,BTRC,GNPAT,PHIP,RAPH1
TCGA-KS-A4I3	BRAF,RELN,FREM1,IFT88,IGSF9B,XPOT,ZMYND11
TCGA-J8-A3O1	LDHA,SRSF5,PRKD1,ALCAM,CKAP2L,LTF,MUC5AC,MYH2,THAP5,TSFM
TCGA-EL-A3T0	IL12RB2,PTPRJ,CCDC180,ZNF335
TCGA-EL-A3ZG	BRAF,ENGASE
TCGA-EM-A4FV	KRAS,BRAF,GSTO2,ANAPC7,GABBR1,DHCR24,PROS1,MCOLN1,GTPBP4,CYTH1,EIF1AX,FMR1,IFRD1,ZNF467
TCGA-BJ-A290	BRAF,COL6A2,COL6A3,IL7R,GRIN2D,TEK,IL11RA,MAP3K3,TTC37,TG,PLCL1,JARID2,AGMO,ARSI,H1-4,HELZ2,KBTBD8,NAALADL1,RIT2,SHROOM1,STAB2,STEAP2,TRIM7,UMOD,ZIC1
TCGA-EM-A3FO	BRAF,PIK3R5,ENPP1
TCGA-BJ-A28Z	ITGB1,FZD1,CGAS,SMARCC2,TNFSF4,EHD1,B3GNT5,CSGALNACT2,STAR,ABCA3,ARSK,BFSP2,GOPC,KIF15,MAP4K4,MYOCD,NUBP1,VWA7
TCGA-E8-A438	PIK3R5,BBS7,FCRL3,HELQ,MYF5,SLCO2B1,SYNPO2
TCGA-BJ-A4O8	BRAF,RPL36AL
TCGA-ET-A3BN	BRCA1,ATP6V1B2,PITPNM2,SYTL2,USP49
TCGA-EM-A3FQ	PCDH11X
TCGA-J8-A3NZ	BRAF,BDH1
TCGA-BJ-A45K	RYR1,CTSH,KANSL1
TCGA-EM-A1CW	GRIA2,PARD3,ALDOB,FNTB
TCGA-ET-A39S	BRAF,MARS2,DNAH1,SHPK
TCGA-KS-A41L	JAK2,PGM1,LRP1,CALCR,SPATA13
TCGA-EL-A3CN	BRAF,CACNA1G,C3,RYR1,MYLK,ABHD14A-ACY1,DAAM1,ATP7B,SH3GLB2,CENPI,DEUP1,PKHD1
TCGA-E3-A3E0	GOT1L1,COL4A5,CPSF3,RAPGEF6,BCL11A,MUC13,NOP9,PGM5
TCGA-DJ-A2Q2	ATP1A1,COL4A6,RASGRF2,CTNND2,CNTNAP1,KTN1
TCGA-DJ-A13R	IRAK4,ARRB1,SI,GALNT16,ARFGEF2,CLCN3,FADS6,MYH13,RABL6,SNX7,ZC3H13
TCGA-CE-A13K	IFNL3,PAPSS1,MDN1,PRRC2A,SVIL
TCGA-J8-A3YG	BRAF,ADAM2,CELSR1,DEFB119,PLXND1,SWSAP1
TCGA-DJ-A3VI	BRAF,SOS2,RET,TNR,MMP7,ABCA12,DNAJC13,EBAG9,HTR3B,MUC20,NBEA,NECAP1,PIH1D2,TWNK,ZIC2
TCGA-DE-A0XZ	BRAF,KIR3DL1,PDCD1LG2,RXFP2,COL3A1,XRN1,MTTP,CNR2,CRP,LARP1,ZBED1,ZSCAN20
TCGA-EM-A4FK	NRAS,PAPSS1,TNXB,DCHS1,HMCN1,UNC79
TCGA-FY-A3R7	BRAF,MAMLD1
TCGA-DJ-A3VE	BRAF,CACNA1B,BMP6,VPS4B,COL12A1,DERL1,DHX36
TCGA-EL-A4JV	HRAS,LILRB1,AP2A2,MYH13,TDRD5
TCGA-EL-A3GR	BRAF,THPO,NUDT12,PRPS1,DHX8,ARC,STAG1,ATP7A
TCGA-EM-A3AI	GPX8,PI4K2B,PRPF6,TG,NEDD4L,EFNB3,GRIK1,ADGRD1,CSMD3,ELL,SPATA25
TCGA-EM-A1YD	ASMT,WT1,SKAP2,PTPRT,ZFP42
TCGA-EM-A1YB	TP53,CASP3,RPL9,IFNL1,MCM2,VTI1A,SH3GL3,SESN3,CTNND2,FREM1,PCGF2,ID2,MYO10,NMBR,BCAR3,C9orf116,CASZ1,CCDC80,DCX,H1-4,NAPG,PLXND1,PPP6C,SPSB3,TREM1,TRIM46,ZNF91
TCGA-FY-A3RA	BRAF,ASB12,SBNO1
TCGA-ET-A2MY	JUN,BRAF,GRIN2B,IFNGR1,PIP4K2C,RBPJ,ANAPC11,KAT2A,FANCC,ABL2,SEMA3A,FCF1,UGGT2,GRIK1,ACBD5,ADGRG5,CAND1,CNR2,DNAAF4,DOCK11,EVPL,EXOSC3,FAIM2,GIMAP5,INTS9,LZTR1,NCKIPSD,NISCH,PNOC,PPAN-P2RY11,PPIG,PRC1,RIF1,SACS,SERPINA5,SESN1,TMEM26,VEZT
TCGA-FE-A234	BRAF,RAPGEF1,MBTPS1,MACF1
TCGA-ET-A3DO	BRAF,ANAPC5,TTN,TAS1R3,LIG4,NLRP4,ADGRV1,DCX,MAGEA1,NFIA,SLC25A43,TENM1,ZNF436
TCGA-EM-A22J	NRAS,ADH4,CLDN15,BCAT1,ENPP7,IL16,NLRP4,ATP11A,DIDO1,FBN2,IRF2BPL,MAU2,PCDHB5,STK25
TCGA-E8-A419	BRAF,SHC3,KMT2A,CFAP43,CNTNAP4,LMLN,NOCT
TCGA-DJ-A2PV	BRAF,HEATR1,APOB,GATC,RIOK1,ANP32A,CD163,RALGAPA2
TCGA-E8-A44K	BRAF,GNPAT,ADCK2,ELL2,RIF1,RTN2,SLC44A2,TRIOBP
TCGA-FE-A233	BRAF,CDH8,MCMBP,RAD51AP1,TMEM26
TCGA-EM-A4FU	NRAS,AAAS,NOL9
TCGA-ET-A39M	BRAF
TCGA-DJ-A13W	CACNA1B,TPH2,EPHB1,ENGASE,OR2L3,KANK2,NAV3,TNS1
TCGA-FE-A231	BRAF,TLN2,ABCG8,TRPA1,ADAMTS2,ATP2C2,EIF2S2,PRDX5,RRP8
TCGA-IM-A3U3	BRAF,TTN,AZIN2,ABCD1,CBLB,HIPK1,TG,ABCB11,ARFGEF2,FAM161A,NAV3,RENBP
TCGA-E8-A413	BRAF,SLC28A1,WLS,ZC3H13
TCGA-ET-A25K	BRAF,RANBP2,TTN,FHL5,KIF1B
TCGA-EM-A3FJ	BRAF
TCGA-BJ-A0ZB	BRAF,ITGAL,CSF3R,TK1,ASAP1,CACNA1E,CHAT,EPS15L1,GRID2,AMOTL2,ETF1,ANK2,ACAD10,CCT2,DNASE2,EIF4G2,TEX11,TMEM109
TCGA-BJ-A2NA	BRAF,TYMP,CYC1,RAB11FIP2,ST8SIA1,SLC34A2,ABCA9,CNTRL,CREB3L3,KHNYN,MDN1,MYF5,NKX2-1,NSD3,PIBF1,SUPT20H,SWSAP1,TTBK2,UNC13A
TCGA-ET-A2MX	FLNA,TNC,KMT2D,STIM1,DCTD,IL17RB,CEP120,ERF,RNF113A
TCGA-EL-A3D6	TP53,BRAF,COL4A1,IARS1,GABRA6,ITPKB,SLC8A3,HDAC8,ALS2,SIKE1,CA13,JMJD1C,ADGRB3,EVPL,MIA2,MRPL38,NAALADL2,PROKR2,SERPINA1,TMPRSS15,TSPAN32,ZAN
TCGA-DE-A69K	CNR1,PTPRR,CELSR1,CUX1,HAUS6,KANK1,PAXIP1,SV2C
TCGA-DJ-A3V8	BRAF,AOC1,SDS,DNAH7,TYRO3
TCGA-EL-A3MZ	BRAF,UQCRC1,PPP2R1A,ACVR2B,TERT,SRP68,AP3M2,IGF2R,SEMA7A,AFF3,NFAT5,NLRC3,PTCD1,SBNO1,YTHDC1
TCGA-BJ-A2P4	HRAS,SF3B3,LCT,POLR1B,PRODH2,AP3B1,ANKLE1,DDX27,GPRIN2,MUC17,MYMK,SLA,UNC79
TCGA-EM-A3FM	BRAF,NUP214,AKAP13,MAPK4,ADARB2,DYSF,FRMD4A
TCGA-BJ-A18Z	BRAF,GSTA2,PLCG1,AMPD3,AOX1,BECN1,ARHGEF4,MAP3K3,LGI1,MUSK,WNK2
TCGA-DJ-A3UW	BRAF,ITPR2,DUOX1,RNPEPL1
TCGA-DJ-A3UR	BRAF,GNAS,TNR,TUBA3D,WDFY3
TCGA-MK-A4N9	BRAF,RSPH6A,TGFBI
TCGA-BJ-A28X	BRAF,MEFV,CEP128,INF2,OSBP
TCGA-EM-A22Q	NRAS,POLR1B,FRAS1,SIPA1L1,PTBP2,RBM7
TCGA-EL-A3D1	BRAF,IL7R,ABCA2,GIGYF1,LYZ,PLS3
TCGA-BJ-A2N9	UBR5,ARVCF,FILIP1,MYH1,SPOCK3,WDR45
TCGA-FY-A3I4	BRAF,NUP214,CASC3,SMARCA1
TCGA-EL-A3D4	RBM15B,SYCE1
TCGA-DJ-A4UQ	REST,PTPRZ1,NSD1,CPD,CSDE1,DMTN,FOXK2,GIMAP5,MTF2
TCGA-ET-A39P	BRAF,IL7R,ITGA8,DYNC1H1,ATP2B2,ACTR3B,ADAR,C1orf146,CSMD3,FOXR2
TCGA-EL-A3T1	BRAF,RPL23,FH,TERT,CFAP44,CUX1,DYRK1B,GPRIN2,MUC16,ROS1
TCGA-E3-A3E1	BRAF,MX1,TTN,MRC1,MTMR1
TCGA-EM-A3AJ	CNTLN,TRAFD1
TCGA-BJ-A192	KEAP1,AOC1,GNAT1,MSI1,CDH12,ERAL1,LGALS13,NFKBID
TCGA-DJ-A2PQ	BRAF,FBF1,ZNF598
TCGA-QD-A8IV	NRAS,NDUFV2,GABRE,CYLD,MRPL28,CNTN5,COG3,IL1RAPL2,POU2F3
TCGA-EM-A3AL	ADSS1,CDS2,RPL12,CSF2RA,PRPS2,GAS1,DCT,ADGRB3,DTNA,MRPS30
TCGA-EL-A3GP	BRAF,NOS1,ACACB,ALDH1L1,FAAH,CYTH4,ASXL1,DOCK3,PCDH15,SUPT20H,SYNE1,UBP1,USP6
TCGA-FY-A40M	DVL3,KIT,CACNA1B,SMARCA4,MSH6,COL8A1,GALNTL5,LTBP1,ANKH,KATNA1,USH1C
TCGA-EM-A2CU	ARHGEF6,PATJ,CHSY3,HNRNPR
TCGA-EL-A3H2	STAT5B,CRAT,C10orf71,DSG4,EFS,TMEM67
TCGA-E3-A3DY	BRAF,NADSYN1,NLGN4Y,BDP1,NIPBL
TCGA-EL-A4K7	BRAF,TYK2,LAMA1,GRIN2B,AGPAT2,RPA2,AK5,CBR1,POLR2A,SCRIB,ALG1,PLXNA2,HCST,SMC1A,SELENBP1,SLC38A9,DNAH2,DSP,PUM2,UGGT2,AHNAK,ZNF605,ARHGAP4,ASB12,BCOR,C2CD3,CAND1,ECT2,ESS2,HPX,MYOZ2,NOBOX,SEPTIN5,SLC52A3,USP49,WDR35
TCGA-EM-A3O7	BRAF,COL1A1,WIPF1,VNN2,COG8,MYH1,POGZ,SLC39A7
TCGA-EL-A3GO	ARHGEF6,DICER1,HEATR6
TCGA-DJ-A2Q1	ATR,DYNC1I1,CD209,TRIP12,WNK4
TCGA-ET-A2N0	BRAF,PIK3R5,TACR3,CACHD1,CHGB,IGSF9B,SLC22A3
TCGA-EM-A2P2	BRAF,COL4A2,COL9A2,MPDZ,WDR59,ALG3,KMT2B,CCNT1,CEP152,FGD4,KIAA1549,LNX1,THEMIS
TCGA-H2-A421	BRAF,C1R,THBS4,EXOC7,MYBL2,HTR4,F10,PLTP,NSMAF,DNAH9,ABCC9,PLA2R1,CDK12,CLEC16A,EIF3A,GPR152,HPS3,LRIG1,MAGEC1,MYO15A,PCDH15
TCGA-EL-A3T7	BRAF,BAG2,CHAF1A,RNF146,SUPT6H,SYTL4
TCGA-EM-A4FH	CXCL3,RPS2,CNST,NOMO3,RBM10
TCGA-ET-A39J	BRAF,IL1R1,DYNLL1,SPTA1,HAUS3,SPTB
TCGA-ET-A3DV	CACNG8,TP73,GZMM,IRX6,NOX5,SHLD2
TCGA-DJ-A2PP	NRAS,POLR3B,TG,ERCC6,PIGZ,CPLANE1,LYST,PCDHGA4,PTPRS,SLC12A4,TULP4,VPS50
TCGA-DJ-A3VA	BRAF,PPP3R2,TTN,SEMA3B,TAX1BP1,NUFIP1,TACC2
TCGA-DJ-A3VF	BRAF,SLC8A3,FLOT2,BBS12,CRYM,DGCR2
TCGA-DJ-A1QQ	BRAF,CACNB1,CANX,MMP3,SCN5A,ALS2CL,MYO9A,PPL,VPS52,ZC3H11A
TCGA-BJ-A0ZE	KRAS,ATP2A2,GPT,MITF,PLXNB3,MEN1,ADM,ABCB7,ABCF1,KIAA0895L,RPUSD1,SCN9A
TCGA-BJ-A18Y	HRAS,TG,CYB5R4,RRP9
TCGA-EM-A3AN	SSTR2,POU2F2,INTU
TCGA-CE-A27D	LCOR,MCMBP,PTPRZ1
TCGA-EM-A3FL	STX17,NEDD4,KDM5A,MKLN1,TCP1
TCGA-E8-A2JQ	BRAF,PLCB4,AKR1D1,NCOR2,TLR8,FPR1,TUBB8,PPP1R3F,CHAF1B,DOCK8,FAM98C,GPSM3,NES,NEXMIF,RLIM,TANC1,TENM1
TCGA-BJ-A0ZH	BRAF,CYP2E1,BRCA2,ERO1A,PIGO,SETD2,CFAP45,LRRC4C,LUC7L3,MUC16,TTC8,UNG
TCGA-FK-A3SD	ITPR2,UGT2B7,ELMO1,SRPRA,PRKD1,MYO1C,ARMC3,LSR,PA2G4,TBC1D22B,ZBTB22
TCGA-DJ-A1QE	BRAF,ITGA3,RPL22L1,PRPF8,MED16,SPAM1,EXT1,APBB1,PLA1A,ARSL,MMP17,USP51
TCGA-FE-A3PD	LAMA3,C7,EEF1AKMT1
TCGA-BJ-A45F	NRAS,EEF1A1,TG,CCDC105,CD93,SPECC1,ZMIZ2
TCGA-EL-A3GX	BRAF,PSMA4,SLC39A14,UBA6,PRB2,ANKS1A,CEACAM5
TCGA-DJ-A3UK	BRAF,B3GNT6,NAA11
TCGA-DE-A4MD	BRAF,STAT5A,RPS4X,RYR2,ANGPT2,KCNJ9,LRRK2,CLDN14,TG,MEN1,PEX5,FOLH1,KMT2B,TACR3,GBF1,BSN,CTTNBP2,DDN,HUS1B,IRF2BP1,LRPPRC,MOK,TCTN2,USP53
TCGA-EL-A3T6	BRAF,DYNC1H1,ADARB1,DCAF12,PRDM8,USH2A
TCGA-J8-A4HW	CYP19A1,STAT4,DNAH17,OR5L1,PARP4,ADARB1,CFAP410,CHST6,DNAH10,MED15,TENM2
TCGA-E3-A3E3	BRAF,CHD2,FOXR2,KDM6A,STXBP5L
TCGA-DJ-A2Q3	BRAF,ACKR4,GNAL,TTN,UNC13B,FCRL5,FGD4,IFT52,TRPM4,UBXN6
TCGA-DJ-A1QF	BRAF,SMG1,IFIT1B,AFF2,ANGPTL1,GALNT1,KCTD3,MUC16,PARPBP,SRPK2,STC2,WDR45B
TCGA-FE-A236	BRAF,CTBP1,XPO6,BRIX1,CHGB,CHN1,CIAO1,MYH13,SCAF8
TCGA-DJ-A2PO	ADCK2,ARHGAP30,SETBP1
TCGA-E3-A3E2	BRAF,GDPD1
TCGA-ET-A3BV	BRAF,CDC42,IMPDH2,MGAT5B,TFPI,SETD2,DLG5,SPTBN2,ARHGAP26,CTDP1,FPGT-TNNI3K,METTL1,MTBP,PTPN21,SPAG9,SRCAP,THEG,TRIP11,UBN1
TCGA-E8-A242	BRAF,KDM3A,TTI1,DOK1,NALCN
TCGA-IM-A420	BRAF,IRS1,MYCBPAP
TCGA-DJ-A13O	BRAF,ANAPC5,PRICKLE1,BRD8,KCNK1
TCGA-EL-A3GU	BRAF,PDHA2,COL5A1,ALDH5A1,CALCR,MPDZ,HNF4A,JMJD1C,BCL9,GALT,MACF1,MKLN1,MSI1,NAV1,NIN,NONO,SETD5
TCGA-EM-A22L	NRAS,VWF,GUK1,PROS1,GPR87,HMCN1,STAG3
TCGA-EM-A4FO	BRAF,PLCB1,ATP1A2,ENTPD6,DEGS2,BSG,NETO1,OTUD5,UBAP1
TCGA-IM-A3ED	BRAF,NOTCH3,CACNA1B,ANK3,EPHB6,PRDM9,FBXW8,CLIC5,LCA5
TCGA-FY-A3R8	BRAF,PLA2G3,LGR4,RYK,COL22A1,DCLRE1A,KRTAP24-1
TCGA-EL-A3CS	GRIK2,IL18RAP,NUP133,HNF4A,TTN,XRCC5,JMJD1C,HP,RPRD1A
TCGA-DJ-A3V9	BRAF,CAMSAP3,KALRN,RRP12
TCGA-EL-A3CY	SEC23A
TCGA-DE-A4MA	BRAF,PPP2R1A,CBLIF,FSCN1,CELSR2,HIP1R,KIF21B,NLRP11
TCGA-DJ-A1QM	BRAF,SH3GL2,SLC25A12,SORBS3,STAB1
TCGA-BJ-A45E	ITGB7,RBP3,ZNF335
TCGA-EM-A3O9	GRIA4,COL9A1,SPR,PRDM9,OR51M1,BTBD7,CDK12,DNAH6,MYBPC2,SRRM2
TCGA-KS-A4IB	HIF1A,PDE4B,RET,UBA7,CHEK2,DNAH9,BSN,CUX1,LRRC49,NIPA1,NSUN6,TFR2,TTPA
TCGA-KS-A4I7	BRAF,ERBB4,NOTCH4,TAF1,SPEN
TCGA-H2-A2K9	NRAS,DAPK1,ARAP3,PENK,NR4A2,DMXL2,CST6,ESRP1,MYCBPAP
TCGA-DO-A1JZ	POLR1A,NEIL3,TP53BP1
TCGA-DE-A4M9	CACNA1G,S1PR3,CDH7,GPR75
