TCGA-EL-A3T3	BRAF,BPTF,FLNA
TCGA-DE-A4MD	BRAF,TG,MEN1,LRRK2,GBF1,BSN,RYR2,NYNRIN,FRY,STAT5A,TACR3,LRPPRC,CTTNBP2,ANGPT2,FOLH1,TCTN2,KMT2B,RPS4X,PEX5,DDN,USP53,CLDN14,IRF2BP1,KCNJ9,HUS1B,MOK,OR12D3
TCGA-DJ-A2Q2	CTNND2,RASGRF2,ATP1A1,COL4A6,KTN1,CNTNAP1,C1QL2
TCGA-EM-A3FQ	PCDH11X
TCGA-BJ-A0Z0	TG,PRKDC,BDP1,PTEN,ANKS1A,FCGBP,ENPP2,GEMIN5,FAM169B,SNTB2,SHROOM3,N4BP2,SEC24B,MALSU1,HEYL,MUC7,ADAM15,RAP1GAP,NCAPH2,ELOA2,TRIM6-TRIM34,RO60,CFAP46
TCGA-KS-A4I5	BRAF,SPTA1,PCDHGA3,DLC1,PSMA4
TCGA-E8-A2EA	BRAF,PDS5A,CSF2RB,PFKP
TCGA-DO-A1K0	BRAF,ZFHX3,GBF1
TCGA-J8-A3YF	BRAF,GNPAT,TEX15,MAP1A,DDX42,MAGI1,ZNF74,TULP2
TCGA-BJ-A45H	BRAF,CDH23,AK9,SIPA1L1,TCF7L2
TCGA-DJ-A13O	BRAF
TCGA-EM-A3SX	BRAF,LTBP1,TNRC6A,TDRD7,SLCO2B1,DOCK10,YES1,PLXNA2,TPBG,TTK,AFM,OR10AG1,ZFC3H1,NR0B1,BCAN,ID4
TCGA-EM-A2CR	NRAS,DGCR8,NEK8,AK9,RRN3,PRB2,CXCL13,RAB37,SIRPB1
TCGA-FE-A22Z	BRAF,USP9X,CPLANE1,COL5A1,SH3PXD2A,CENPI,F8,RHOQ,TAF8,HDAC5,COL19A1
TCGA-CE-A484	BDP1,CHEK2,TFE3,ZSWIM8,DPYD,PINK1,PPID,SH2D2A,HLA-B,ABHD16A,SOWAHB
TCGA-L6-A4EP	BRAF,HUWE1,SF3B1,ANKRD53,GFAP,ATG12,NDUFS1
TCGA-EL-A4K4	BRAF,BSN,NCOR2,COL6A6,HSPD1
TCGA-EL-A3D6	BRAF,TP53,JMJD1C,EVPL,ADGRB3,IARS1,SLC8A3,MIA2,SIKE1,CA13,OR13F1,ALS2,MRPL38,APOBR,FAM110B,ITPKB,HDAC8,TSPAN32,COL4A1,SERPINA1,PROKR2
TCGA-EL-A3CR	BRAF,PIK3CA,PCDHGA12,IGF1R,TBL2,DMXL1,TSPYL2,HAS1,CIDEA,DNAJC17,OR2D3
TCGA-DJ-A4UW	BRAF,APC,NSD1
TCGA-BJ-A28R	BRAF,KCNV2
TCGA-IM-A3U3	BRAF,TTN,TG,ARFGEF2,NAV3,ABCD1,ABCB11,RENBP
TCGA-ET-A40P	HRAS,WNK2,UNC13A,DCAF12L2,F8,KLHL22,BCORL1,DDX60
TCGA-CE-A483	BRAF,CELSR2
TCGA-EM-A4FH	RBM10,RPS2,CNST,NOMO3,CDKL1,CXCL3
TCGA-EM-A3AR	BRAF,ZMIZ2,ABCG8,COL27A1,KCNIP3
TCGA-DJ-A13S	NRAS,TG,NAV3,EPB41L1,XIRP2,CDKL5,MATR3,RAB3C,BOC
TCGA-EM-A3O6	PTEN,CASZ1,PIK3R1,NEB,DHX30,ATP1A1,PDGFRB,APAF1,MYO6,PHF8,MARCHF6
TCGA-DJ-A3V2	BRAF,KIT,ST8SIA6
TCGA-EM-A3SZ	BRAF,TLN2,CRISPLD2,ZNF234,ABCA4
TCGA-MK-A4N9	BRAF,CSMD1,TGFBI,RSPH6A
TCGA-ET-A39I	HRAS,BPTF,EPG5,TCF7L1,ZNF777,ATG2B,MLLT1,MEPCE,ZNF148,KLHL41
TCGA-E8-A414	BRAF,SPTA1,PIK3CD
TCGA-DJ-A1QM	BRAF
TCGA-EL-A3CN	BRAF,RYR1,PKHD1,MYLK,CACNA1G,C3,ATP7B,DAAM1,CENPI,DEUP1,SH3GLB2,ABHD14A-ACY1
TCGA-EM-A2P3	BRAF,WNK2,GRM6,FLG
TCGA-EL-A3ZS	TTN,KCTD9
TCGA-EL-A3ZT	BRAF,ZC3H4,TFE3,TRIO,WNT3A
TCGA-L6-A4EQ	BRAF,USP9X,MEFV,FBN3,LRRC19,PLA2G15,TRIM26
TCGA-EM-A1CW	GRIA2,PARD3
TCGA-EM-A3SY	RPTOR,LYST,ZEB2,BRWD3,OTUD7A,SCN5A,OR5B17,MGAT4A,SNX19,ZNF544,GPRC5D
TCGA-FE-A231	BRAF,ADAMTS2,TLN2,ABCG8,PRDX5,RRP8,EIF2S2,ATP2C2,TRPA1,PANX2
TCGA-BJ-A28V	KIF4B,NSD1,TBX18,USP48,PLEKHA5,MRC1,NUP210L,OR10AG1,OR4M1,JAK1,SULT2A1,CD46,HEG1,FUT3,ADO,TKTL2,MYH3,DCLRE1C,GUCY2C,PXMP2
TCGA-BJ-A0ZG	EIF1AX,MYO5C,PPP1R3B,SMUG1,TRMT5
TCGA-KS-A41L	JAK2,LRP1,CALCR,KRBA2,SIGLEC12,PGM1,SPATA13
TCGA-ET-A3DS	GOLGB1,SH3KBP1,BTAF1,TSHR,ADGRG4,CCDC62,HNRNPC,LRSAM1,KCNAB3
TCGA-DJ-A3UQ	BRAF,CD5,POU4F3,FPR2,CLCN5
TCGA-EL-A3MW	BRAF,DCC,ZCWPW1
TCGA-ET-A25K	BRAF,TTN,RANBP2
TCGA-DJ-A3UV	GCN1,HPS1,STON2,CSGALNACT2,CX3CL1
TCGA-ET-A39J	BRAF,SPTA1,HAUS3,IL1R1,SPTB,DYNLL1
TCGA-DE-A0XZ	BRAF,CRP,XRN1,ZSCAN20,PDCD1LG2,KIR3DL1
TCGA-DJ-A2Q0	PTPRZ1,TACC2,RYR2,ZNF385D,MCM3,RINT1,GNAL,FOXK2,SLITRK3,LAMA5,ADCY8,AP1G1,JAKMIP2,OTOP2,ARHGAP36,OR14I1,DEFB118,CES5A,CYP2A13,ICMT
TCGA-BJ-A3PU	BRAF,CNOT1,RXRA,TSPAN8,KAT8,CSRNP3,LIN54,SPTAN1,BGN,TNIK
TCGA-EM-A2OZ	BRAF,DLG5,CPLANE1,FRY,BRCA1,ARAP3,ABCA12,PRDM16,NPC1L1,UQCRC2,FNIP2,FTO,ABHD6,STX1B
TCGA-BJ-A28S	ATR,LAMA4,SVIL,MYOF,BRWD1,ESPL1,C8orf34,AGO1,CFAP47
TCGA-IM-A3U2	BRAF,MUC16,DNAH8,KDM2A,DNMT3A,BNC2,DNTTIP1,SYTL3,HEATR1,HNRNPUL2,ATP4A,PPP6R3,SEPTIN6,GRB7,MYO19,AP3D1,POLR2B,LGR5,DBH
TCGA-DE-A0Y2	JMJD1C,PLEC,TDRD7,RIOK2,VAPA,DNAAF2,POMT2,LPAR6,ATP10A,FFAR4,FBH1
TCGA-ET-A39K	BRAF,ARFGEF2,FLOT2,IFFO1,AHR,OSTC
TCGA-DJ-A3V3	GPR132
TCGA-EL-A3T1	BRAF,MUC16,CUX1,GPRIN2,ROS1,TERT,RPL23,FH
TCGA-EL-A3CO	EIF1AX,BACH1,AFM,SYNE2,KCNMA1
TCGA-EM-A4FN	BRAF,ARID2,AGFG1,BTN3A3,GRIA4,ETV1,LIPK,TRIM11,TPO,RIMS1
TCGA-FY-A40L	BRAF,PDZD2,IGFN1,THBS2,CASP7,ACAD9,TLR2
TCGA-E8-A44M	GIMAP6,MOV10
TCGA-EL-A3GY	BRAF,TG,ITGB1,CYP11A1,PCDHGA5,AGO2
TCGA-EL-A3D1	BRAF,IL7R,GIGYF1,PLS3,ABCA2,LYZ
TCGA-DJ-A13R	ARRB1,ZC3H13,ARFGEF2,MYH13,IRAK4,RABL6,FAM50B,SNX7,SI,CLCN3,FADS6,GALNT16
TCGA-EM-A3FO	BRAF,PIK3R5,ENPP1,PNMA8B
TCGA-EL-A3D0	BRAF,GCN1,MYO10,BCOR,ENPP2,OR1J2,FBN3,CACTIN,LRRC56,CAMKK2,CASP4,EHD2
TCGA-QD-A8IV	NRAS,ARHGEF17,POU2F3,MRPL28,GABRE,COG3,NDUFV2
TCGA-BJ-A4O9	BRAF,AKT1,C2CD3,ERBB4,TRHDE,DPF3,UGT2B15,MPI,PDIA5,PLA2G2A,CHD6,ZFX,RAD23B
TCGA-DJ-A2PP	NRAS,TG,LYST,CPLANE1,SLC12A4,POLR3B,ANKMY2,PGLYRP4,PCDHGA4,TULP4,PTPRS,PIGZ,ERCC6,VPS50
TCGA-ET-A25O	BRAF,PKHD1,SEC24D,MAN2C1,LRRC37A2,OCLN
TCGA-E3-A3E5	BRAF,LDHA,EIF3F,TCAP,LAMC2
TCGA-FY-A3NP	NRAS,ENPEP,OAS3,LETM1,RANBP10,FRG2B,KCNH7,ADGRL1
TCGA-EL-A3GW	NRAS,NPHS1,MED31,FANCG,TAB3,MED6,CHD9,TNPO3,DBNL
TCGA-EM-A3FL	TULP2,NEDD4,TCP1,KDM5A,STX17
TCGA-EM-A3AK	BRAF,S100A6
TCGA-EL-A3H2	TMEM67,STAT5B,C10orf71,DSG4,CRAT,EFS
TCGA-CE-A482	DIP2C,LRGUK,ZNF646,RAF1
TCGA-BJ-A45G	NRAS,NPR1,OR4M1
TCGA-EM-A3O3	BRAF,BDP1,PCGF2,PKHD1,OBSCN,MUC5B,STAB2,DDX42,HK3,ZFYVE27,NINL,ZMIZ1,OR5D13,GOLGA4,EPRS1,CPS1,FLT3LG,PDCD4,RPL22,OTUD7B,NFATC1,SMG7,UBN2,C7orf57,ZNF497,ITGB8,GULP1,CASP6,TRPV3,OR10G4,BTBD3,SOAT1
TCGA-FE-A232	BRAF,KIF4B,CACNA1C
TCGA-KS-A4ID	BPTF,HSP90AA1,OR5M3,RIMBP2,TNFAIP2,MARK3,SLIT3
TCGA-EL-A4KD	GCN1,ALG13,DOCK7,ECSIT,GABRA2,IRS2,IRF5,S100A7,SLC9A3R1
TCGA-EM-A3AQ	GTPBP4,ATAD2,RPL10A
TCGA-BJ-A2NA	BRAF,CYC1,MDN1,UNC13A,MYF5,NKX2-1,SWSAP1,NSD3,SUPT20H,SNX31,TYMP
TCGA-EM-A3AN	CSMD1,SSTR2
TCGA-EL-A3H8	BRAF,CACNA1E,LRP1B
TCGA-EM-A2P2	BRAF,MPDZ,SPATA31A1,LNX1,CEP152,CCNT1,SPON2,ALG3,FGD4,THEMIS,KMT2B,KIAA1549,COL4A2,COL9A2
TCGA-BJ-A2P4	HRAS,POLR1B,AP3B1,MUC17,GPRIN2,UNC79,SF3B3,SLA,ANKLE1,DDX27,LCT
TCGA-DJ-A4UP	ZNF74,CDC5L,ADAMDEC1
TCGA-FY-A3YR	BRAF,PDZD2,CPT1A,STT3A,ARFIP2,TRHDE,COL6A6,FLG,RC3H1,ZNF343,QTRT2
TCGA-EL-A3CS	TTN,JMJD1C,RPRD1A,NUP133,HNF4A,DNHD1,XRCC5,GRIK2,IL18RAP,HP,E4F1
TCGA-ET-A40S	PPL,MYH13,PLEKHA5,LILRB1,ARHGAP29,HSPA4,SMARCD3,SNX9,A2ML1
TCGA-FE-A230	BRAF,NLRP11,NRG1,CEP83
TCGA-FK-A3SB	BRAF,ZFHX3,VGLL3,ESPN
TCGA-EM-A4FM	BRAF,USP9X,PKHD1,CEP152,MYH2,PPP1R26,SETD1A,CYP2F1,IL2RG
TCGA-ET-A4KQ	BRAF,TG,AGFG1
TCGA-EM-A1YB	TP53,RPL9,CASP3,PCGF2,PPP6C,CTNND2,NAPG,CASZ1,MCM2,VTI1A,PLXND1,SH3GL3,SPSB3,FREM1,DCX,MYO10,C9orf116,TRIM46,ID2,H1-4,SESN3,DPY19L4,BCAR3,TRIM10,ZNF710,DNAJC22,TREM1,SNX29,SLC16A13,NMBR,CCDC80,ZNF91,IFNL1
TCGA-BJ-A191	NUP93,NCOR1,FREM1,LSAMP,BTBD7,ACAD10,TECPR2,DAAM1,STON2,ABHD4,CELF5,ALPK2,RIMS2,RIC3,NDUFS5,NPBWR2,CCL13,PDCD1,NPEPPS,PLXDC2,SARAF
TCGA-EM-A2CT	NRAS,DICER1,WDR7
TCGA-EM-A2CJ	MUC16,RPL4,TCF3,COPG1,ERGIC2,FRRS1,MIA3,IFI16,TRPM5,CCDC27,ABCC10
TCGA-EM-A4FV	BRAF,KRAS,EIF1AX,GTPBP4,PROS1,GSTO2,DHCR24,CYTH1,FMR1,GABBR1
TCGA-EM-A2CQ	KRAS,ELF4,TNXB,NPC1L1,TRNT1,MGAM
TCGA-KS-A4I9	BRAF,STAR,FBLN1
TCGA-EL-A3T6	BRAF,DYNC1H1,USH2A,ADARB1
TCGA-EM-A3O9	SRRM2,CDK12,PRDM9,BTBD7,MYBPC2,GRIA4,SPR,DNAH6,COL9A1,OR51M1
TCGA-BJ-A2N7	NRAS,DNASE2
TCGA-DJ-A2QB	HRAS,PHKA2,PALM2AKAP2,CDKN2C,PLXNB2,FAF2,LARS1
TCGA-DJ-A4V4	BRAF,TP53BP1,CUL3
TCGA-DJ-A1QH	BRAF,FLNC,GBF1,PZP,ATN1,MTHFD1,TYR,TRIM32,S1PR1,LY75-CD302
TCGA-ET-A3BS	BRAF,SLC25A3,LPL,EXPH5
TCGA-ET-A3DW	BRAF,ZFHX3,SLC26A9,SEZ6L,NKX2-1,OR2J2,BMPER,ACVR2A,ZFP36,MYLPF
TCGA-DJ-A3VM	TG,LRRK2,MYLK,NUP133,KCNIP4,EIF3G
TCGA-BJ-A0ZC	PIK3R5,HIF3A,RBPMS,FOXQ1,ULK3,PLOD1,H4C13
TCGA-ET-A2N5	HRAS,ASXL1,EPHA6,ZNF491,CLCN2,SOX2
TCGA-EM-A2CL	EIF1AX,MPO,AGL,LRRIQ3,OR2L13
TCGA-EM-A2CM	HRAS,TG,IRS1,COBL,RBM10,CAMK2A,SEC24D,ANK1,BLMH,SIGLEC12,TUT1,ZBTB2,RORB,ZNF490,RNF19B,LARP4B,IRAK3,UBASH3B,AKAP10,ECHDC2,MTSS2,H4C12,AGAP6
TCGA-CE-A485	RASGRF2,ZFPM2
TCGA-MK-A4N6	BRAF,KIF4B,KMT2A,BACH1,BMP1,SLCO6A1
TCGA-BJ-A290	BRAF,TG,MAP3K3,HELZ2,COL6A2,IL7R,STAB2,LRTM2,TRIM7,COL6A3,PLCL1,GRIN2D,SIGLEC6,H1-4,JARID2,UMOD,TEK,NAALADL1,ZIC1,RIT2,IL11RA,TTC37,SHROOM1
TCGA-E8-A434	BRAF,KIF4B,FBXW7,SDC1
TCGA-BJ-A0Z2	HRAS,MUC16,PTK2B,MUC5B,SUOX,PRKD1,UBR4,IRF5,SNRNP27,NANS,PDE3A,SRRT,NLRP3,CACNA2D1,WEE2,PIK3C2A,SLC5A1
TCGA-DO-A1JZ	TP53BP1,NEIL3,POLR1A
TCGA-EM-A22N	KIF2A,LSAMP,CACNA1A,TRIM46,SLC38A7,OR5AK2,SINHCAF
TCGA-DJ-A2PQ	BRAF
TCGA-BJ-A28X	BRAF,MEFV,INF2,OSBP
TCGA-FY-A40M	CACNA1B,LTBP1,ZNF385D,KIT,DVL3,SMARCA4,USH1C,COL8A1,MSH6,SLC22A23,KATNA1,ANKH,GALNTL5
TCGA-EL-A3T9	KIAA1109,FLNC,COL6A2,ITGAL,ETS1,ALB,ELFN2,MPPED1,SLC8A1,SEZ6L,PCSK1,AP5Z1,ITGA6,EFNB1,SLC25A33,ZNF414,GPR135,CAPS,GJA8,NTRK3,STOML2
TCGA-DJ-A1QN	BRAF,EVPL,SLC5A2,AUP1,NDST2
TCGA-E8-A413	BRAF,ZC3H13,WLS,FDX2
TCGA-BJ-A4O8	BRAF,RPL36AL
TCGA-ET-A3BX	BRAF,FLG2,USP32,MIA2,MOB1A
TCGA-ET-A39O	BRAF,TBC1D2
TCGA-EL-A3TB	TTN,MUC17,VCAM1,DCC,EPHA6,POLE2,ZNF592
TCGA-EL-A3ZP	TP53BP2,PPARGC1A
TCGA-E3-A3E1	BRAF,TTN,MRC1,MX1
TCGA-DJ-A2Q7	BRAF,MLLT1,MAP1B,FCGR2B,FUT9
TCGA-DJ-A1QI	BRAF,IGF1R,STXBP5L,ANKAR,PCCA,GLG1
TCGA-EL-A3MY	BRAF,TTN,USP9X,TACC2,CACNA1A,PITX2,CDH11,COL4A4,CD3D,E2F3,AGR2,MYO16,IRX2
TCGA-FY-A3WA	BCL2L12,TBC1D14,CLIC6
TCGA-EL-A3H4	BRAF,MUC16,ABCC2,SLC6A8,OR1N2,EMC4,ZBTB39,DUOX2
TCGA-EM-A2CU	ARHGEF6,HNRNPR,PATJ
TCGA-BJ-A0ZA	DHX8,PC,DNAH10,FBN2,SRPK2,TBX5,ZRANB3
TCGA-DJ-A4UT	FBN1,ARHGAP4,PHKA2,GBF1,SLC25A45,USH2A,STT3A,GRIN2B,BCL2L12,UGT2B7,LNPEP,LRRC19,EIF2AK2
TCGA-EL-A3TA	BRAF
TCGA-EL-A3CT	BRAF,ATM,PTPRZ1,FAM155A,PCDHGA12,DTNA,TBC1D12,LRP10,KCNV2,RIC1,DENND6B,GFOD1,AHNAK,RPRD1A,ATP7B,TP73,YES1,ARFIP2,ZNF646,EHBP1,DPP3,PI4KB,HNRNPUL2,ALG3,PELO,GLP2R,DMTN,CBR3,CDK5,EZR,RAB32,LONP1,FIGNL1,RCC1,POU5F1,PTCH1,BICC1,ICAM1,POLB,ZNF556,ARHGEF18,CCDC6,FARSA,ATP6V1G2,KRT18,ERBB3,KPNA1,ENOX2,ARSH,EED,ATP12A,DUSP6,TMEM63A,KANSL3,ZC3H18,LAMB2,TMEM50B,ADGRA1,H3C6
TCGA-FE-A3PB	BRAF
TCGA-EM-A3ST	NRAS,TTN,EIF1AX,MACF1,HSPA5,WNK2,LINGO1,TGM4,FN3KRP,CCDC171,RAB6B,GPRC5B,CC2D1A,APOBEC3C,SHCBP1,GSDMA,IGSF9
TCGA-EL-A4JW	BRAF,SLC6A8,CELF5,UQCRC1,ZNF786,GOT2,RPL18A
TCGA-DJ-A13P	BRAF,KMT2A,CPLANE1,OFD1,PIMREG
TCGA-ET-A39M	BRAF
TCGA-BJ-A45F	NRAS,TG,EEF1A1,ZMIZ2,CCDC105,GRAMD2A,SPECC1,CD93
TCGA-EL-A3GS	BRAF,PIK3CG,PCDHGC4,SDC4
TCGA-DJ-A13V	BRAF,MUC16,DNAJC13,NRIP1
TCGA-EL-A4JV	HRAS,MYH13,AP2A2,LILRB1,TDRD5
TCGA-EM-A3FP	ZBTB22,INTS1,TBL2,SMC3,TJP1,PMS1,MOB4,ZNF260,GNG5
TCGA-J8-A3YD	BRAF,NOTCH4,TMEM67,JPH2
TCGA-EL-A3GO	DICER1,ARHGEF6,STAC2,CCDC24,HEATR6
TCGA-ET-A39L	ZC3H11A,TNC,ASIC4
TCGA-FE-A3PC	BRAF,PIK3CA,DNM2,ETS1,PPP1R8,ZNF500,TUBB2B,MYBPC2,SLAMF8,COL2A1,FNBP1L,MYO1D,TEX101,OR5AS1,ADGRL3
TCGA-EL-A3H5	BRAF,BRCA2,USP9X,ASPM,ALDH1B1,ZNHIT6,SENP5,STOML1,ZXDC,NHS,C11orf87,NYNRIN,ZBTB22,NPHS1,BEX3,KRT36,ARID3B,MAP3K6,HHAT,PRKCSH,ZNF311,SEMA6B,LONRF1,ABCA6,MESD
TCGA-KS-A41F	BRAF,SYNE1,AP4M1,GPRIN2,FARP1,LRRC14,BCL9,AFMID,REG3A
TCGA-DE-A4MA	BRAF,PPP2R1A,HIP1R,FSCN1,NLRP11,CELSR2,KIF21B,OR4P4,CBLIF
TCGA-EM-A2OX	BRAF,JAK2,ABL2,ROS1,ANKRD30A,ITGAX,CHUK,HRH2
TCGA-BJ-A45I	BRAF,ANK2,LRGUK
TCGA-DJ-A2Q6	BRAF,ZNF804A
TCGA-CE-A3MD	TG,DNAH8,GOLGB1,NOX5
TCGA-DJ-A2PZ	BRAF,ANKS1A,STT3A,FCGBP,HBS1L,RBBP6,F7
TCGA-H2-A2K9	NRAS,ESRP1,MYCBPAP,DAPK1,ARAP3,NR4A2,PKDREJ,PENK,CST6
TCGA-EM-A4FK	NRAS,HMCN1,PAPSS1,UNC79,TNXB,RBM12,ANKRD11
TCGA-DJ-A3VL	BRAF,RASA1,CYP4F11
TCGA-BJ-A0ZB	BRAF,ANK2,ITGAL,DNASE2,CACNA1E,ACAD10,TK1,OR1N2,ADAMTS18,CCT2,CSF3R
TCGA-DJ-A2PV	BRAF,RALGAPA2,APOB,HEATR1,CD163,RIOK1,ANP32A,GATC
TCGA-DJ-A13M	HRAS,SLC5A2,WDR62,TBX20
TCGA-KS-A41I	NRAS,KIAA1109,PPP2R2B,ABCD1,HECTD4,PLA2G4D,ALOX5,MAST4,TCTN2,CYP11B1
TCGA-J8-A4HY	BRAF,PC,TECPR2,DGKB,GPC5,AP5B1,ANKLE1,PALM2AKAP2
TCGA-ET-A40Q	BRAF,RASA1,KIF19,TCN2
TCGA-DJ-A2Q4	BRAF,NUP93,DNAH3,CD163,CDH10
TCGA-BJ-A192	MSI1,AOC1,KEAP1,LGALS13,ERAL1,GNAT1,NFKBID
TCGA-E8-A44K	BRAF,GNPAT,BNC2,ADCK2
TCGA-DE-A4M9	CACNA1G,CDH7,FSTL4,SAMD7,S1PR3
TCGA-KS-A4I1	BRAF,PLEC,PCDH11X,JAKMIP1,TLE3,TMLHE,SLIT2,MSLN
TCGA-J8-A4HW	DNAH17,DNAH10,MED15,TENM2,ADARB1,OR5L1,PARP4,CYP19A1,STAT4,CHST6,CFAP410
TCGA-EL-A4K7	BRAF,ARHGAP4,C2CD3,SCRIB,CAND1,UGGT2,GRIN2B,OR5M3,USP49,POLR2A,AHNAK,BCOR,ASB12,PLXNA2,AGPAT2,PUM2,SMC1A,MYOZ2,DSP,ECT2,SLC38A9,TYK2,NOBOX,AK5,ALG1,HCST,SELENBP1,CBR1,RPA2,HPX,LAMA1,SEPTIN5
TCGA-EM-A3AL	DTNA,ADGRB3,OR2J2,ADSS1,RHBDL3,DCT,CDS2,RPL12,PRPS2,MRPS30,GAS1,CSF2RA
TCGA-DJ-A3VB	BRAF,MYCBP2,FPGT-TNNI3K,SLC40A1,PCBP1,MCM4,GRK1
TCGA-FE-A236	BRAF,MYH13,CHGB,CIAO1,XPO6,CTBP1,BRIX1
TCGA-ET-A25I	NRAS,TG,NHS,PLXNB3,VWA7,ZFHX4,TTF1,UNC45B,SYNE3,LAMC1
TCGA-DJ-A2PN	BRAF,VGLL3
TCGA-ET-A3BV	BRAF,CDC42,DLG5,IMPDH2,TRIP11,IGFN1,MGAT5B,SETD2,SPAG9,FPGT-TNNI3K,METTL1,RAPGEFL1,CTDP1,SRCAP,SPTBN2,PTPN21,MTBP,ARHGAP26,TFPI
TCGA-EM-A22M	BRAF,FAM155A,DYNC2H1,NUDT8,GRXCR1,TTF2,AP5B1,ZNF559,TTC12,ZNF43,ZNF226,NECTIN1
TCGA-DJ-A13L	BRAF,PRKDC,RYR1,FBN1,DVL3,ANGPT2,ANKEF1,SBF1,STAM2,DOLK,CTSS,EEF1A2,HSD3B7,TYRP1,POLE,SPTY2D1
TCGA-BJ-A2N8	NRAS,CDH7,SCN9A,BEX3,FKBPL,REXO2
TCGA-EL-A3D4	SLC25A45,SYCE1
TCGA-DE-A3KN	DYNC1H1,DOCK7,HMOX2,PLXNB1,VCAN
TCGA-ET-A39S	BRAF,DNAH1
TCGA-J8-A3O2	BRAF,HNRNPD,PPP1R9B
TCGA-EM-A1YA	EIF1AX,PKM,ENPP1,PSG9,SPRED2
TCGA-BJ-A45K	RYR1,DENND6B,SPON2,KANSL1,SDK2,CTSH
TCGA-EL-A3ZR	HRAS,PCDH11X,LRP10,BNC2,NLRP4,PPP1R3B,OR5B17,ABO,RFXAP,PLCB3,EPC2
TCGA-EL-A3T7	BRAF,SUPT6H,BAG2,SYTL4,RNF146
TCGA-EM-A2CO	SLC25A45,VCAM1,ZNF407,NEB,HELLS,PIH1D2,WIPF2,ARHGAP29,PCID2,ANKEF1,FAM83F,RIMS3,TSNAX,RTP1
TCGA-EL-A4K0	BRAF,TTN,HMCN1,ARCN1,SSX1,GPC6,BCKDK,LCE1C,NELL2
TCGA-EM-A3OB	NRAS,COL5A3,AMDHD1,WRAP53,UTP3,IQSEC2
TCGA-E8-A415	BRAF
TCGA-IM-A3ED	BRAF,PRDM9,CACNA1B,EPHB6,ANK3,NOTCH3
TCGA-FY-A76V	RYR1,ARHGAP4,DPY19L2,MAP2K1,NDUFA9
TCGA-DJ-A1QE	BRAF,PRPF8,EXT1,APBB1,ITGA3
TCGA-L6-A4EU	BRAF,ZFHX3,MACF1,TBC1D12,SPATA31A1,CACNA1E,FRMD4A,DST,LRPPRC,AP2A2,THOC5,UBP1,HMOX2,PELO,ZFC3H1,UBE2A,ADAMTS9,LOX,BEND7,CLEC3A,TMEM38A,DDX58,KLHDC8B
TCGA-BJ-A45D	HRAS,TG,SRP68,SLC25A13,ARHGEF12,RNF34,PGK1
